No,Date,Month,Who,Description,Income,Expense,Balance,Categories,Under_Categories,2nd_Under_Categories,Voucher No,Remark
1,3-Jun-25,6,Lwin Ko Oo,Materials for Garden,,"80,000","-80,000",EXPENSE,General Expense,,,
2,3-Jun-25,6,Lwin Ko Oo,For buying cooking oil,,"95,000","-95,000",EXPENSE,Food,,,
3,3-Jun-25,6,Lwin Ko Oo,Fuel for going to buy cooking oil,,"14,000","-14,000",EXPENSE,Food,,,
4,4-Jun-25,6,Lwin Ko Oo,For buying Firewoods for YLFC,,"240,000","-240,000",EXPENSE,Ex Other,,,
5,7-Jun-25,6,Lwin Ko Oo,For food,,"168,000","-168,000",EXPENSE,Food,,,
6,7-Jun-25,6,Lwin Ko Oo,For buying rice for pig,,"140,000","-140,000",EXPENSE,Food,,,
7,11-Jun-25,6,Lwin Ko Oo,For buying rice,,"85,000","-85,000",EXPENSE,Food,,,
8,11-Jun-25,6,Lwin Ko Oo,For buying Spray for pigs,,"25,000","-25,000",EXPENSE,Health Care,,,
9,12-Jun-25,6,Lwin Ko Oo,Income for Buying computers,"11,335,000",,"11,335,000",INCOME,Project,,,
10,12-Jun-25,6,Lwin Ko Oo,Buying laptops for YLFC,,"10,650,000","-10,650,000",EXPENSE,TeachingLearningFeclities,Laptops&Accessories,,
11,12-Jun-25,6,Lwin Ko Oo,Buying printer for YLFC,,"685,000","-685,000",EXPENSE,Office,,,
12,13-Jun-25,6,Lwin Ko Oo,Income for buying Solar,"7,135,000",,"7,135,000",INCOME,Project,,,
13,13-Jun-25,6,Lwin Ko Oo,For buying Solar and accessories,,"7,135,000","-7,135,000",EXPENSE,Office,,,
14,14-Jun-25,6,Fr.Philip Aung Nge,Buying stationery for school,,"764,750","-764,750",EXPENSE,TeachingLearningFeclities,Stationery,V-67,
15,14-Jun-25,6,Sr.Pansy,Buying meterials of kitchen,,"22,500","-22,500",EXPENSE,Food,,,
16,14-Jun-25,6,Sr.Pansy,Buying meterials of kitchen,,"44,000","-44,000",EXPENSE,Food,,,
17,14-Jun-25,6,Lwin Ko Oo,For madicine for pigs,,"9,000","-9,000",EXPENSE,Health Care,,,
18,14-Jun-25,6,Lwin Ko Oo,For food,,"168,000","-168,000",EXPENSE,Food,,,
19,15-Jun-26,6,Fr.Philip Aung Nge,Trasportation of carrying computers,,"575,000","-575,000",EXPENSE,Ex Other,,,
20,16-Jun-25,6,Lwin Ko Oo,Purchasing Stationery for YLFC,,"1,771,750","-1,771,750",EXPENSE,TeachingLearningFeclities,Stationery,,
21,21-Jun-25,6,Lwin Ko Oo,For food,,"168,000","-168,000",EXPENSE,Food,,,
22,25-Jun-25,6,Lwin Ko Oo,For madicine for pigs,,"30,000","-30,000",EXPENSE,Health Care,,,
23,25-Jun-25,6,Lwin Ko Oo,For Fuel,,"10,000","-10,000",EXPENSE,Ex Other,,,
24,25-Jun-25,6,Lwin Ko Oo,For buying cow legs for pigs,,"16,000","-16,000",EXPENSE,Food,,,
25,27-Jun-25,6,Lwin Ko Oo,Buying rice (1) pack,,"120,000","-120,000",EXPENSE,Food,,,
26,28-Jun-25,6,Lwin Ko Oo,For Food,,"168,000","-168,000",EXPENSE,Food,,,
27,28-Jun-25,6,Lwin Ko Oo,Buying cow legs for pigs,,"20,000","-20,000",EXPENSE,Food,,,
28,29-Jul-25,7,Lwin Ko Oo,Buying guiter and accessories,,,0,,,,,
29,30-Jun-25,6,Lwin Ko Oo,Buying cow legs for pigs,,"8,000","-8,000",EXPENSE,Food,,,
30,30-Jun-25,6,Lwin Ko Oo,Stipend for June,,"600,000","-600,000",EXPENSE,PersonalCost,Teacher stipends,,
31,2-Jul-25,7,Tr.Gracy,Pretty Use for YLFC,,"300,000","-300,000",EXPENSE,General Expense,,,
32,2-Jul-25,7,Lwin Ko Oo,For buying building wall,,"768,000","-768,000",EXPENSE,Building,Construction,V-13,
33,3-Jul-25,7,Lwin Ko Oo,Buying woods for Building ,,"249,000","-249,000",EXPENSE,Building,Construction,V-12,
34,5-Jul-25,7,Theodoro,Income from Bank,"2,000,000",,"2,000,000",INCOME,Project,,,
35,3-Jul-25,7,Lwin Ko Oo,Income from Bank,"5,000,000",,"5,000,000",INCOME,Project,,Request form - 1,
36,4-Jul-25,7,Lwin Ko Oo,Buying for ingredients of cooking,,"45,000","-45,000",EXPENSE,Food,,V-1,
37,4-Jul-25,7,Lwin Ko Oo,Buying for materials of toilet,,"115,000","-115,000",EXPENSE,Office,,V-2,
38,4-Jul-25,7,Lwin Ko Oo,Buying for cooking oil,,"200,000","-200,000",EXPENSE,Food,,V-3,
39,4-Jul-25,7,Lwin Ko Oo,For buying vegetables for applicants,,"102,500","-102,500",EXPENSE,Food,,V-4,
